gcam_scenario,scen_name,REF,scenario,feedbacks,variant,tax
"RCP4p5_exp2_coupled,date=2015-19-8T00:31:52-07:00",RCP45_Coupled,RCP45,rcp45,YES,default,YES
"RCP85_exp2_uncoupled,date=2015-18-11T11:24:17-05:00",RCP85,RCP85,rcp85,NO,default,NO
"RCP8p5_exp2_coupled,date=2016-1-6T16:19:12-07:00",RCP85_Coupled,RCP85,rcp85,YES,default,NO
"RCP4p5_exp2_uncoupled,date=2014-1-11T11:20:29-07:00",RCP45,RCP45,rcp45,NO,default,YES
"iESMCorePop_Ref_uncoupled,date=2016-8-7T10:15:15-04:00",Ref,RCP45,rcp45,NO,no_tax,NO
"iESMHighPop_Tax_uncoupled,date=2016-8-7T11:09:55-04:00",HiPop_Tax,RCP85,rcp85,NO,tax,YES
