"region","x","year"
"NAM",2068383.75701257,2066
"WORLD",12464992.8770806,2066
"AFR",1521133.88369475,2067
"ASIA",6193259.58586473,2067
"AUS",481074.436699585,2067
"EUR",1477305.56252629,2067
"LAM",847128.971546982,2067
"NAM",2062558.94946398,2067
"WORLD",12432490.89096,2067
"AFR",1518904.29916239,2068
"ASIA",6177155.70096772,2068
"AUS",479715.398675318,2068
"EUR",1472318.85798195,2068
"LAM",845113.614208901,2068
"NAM",2056734.2480533,2068
"WORLD",12399989.5713526,2068
"AFR",1516674.72867978,2069
"ASIA",6161051.70300539,2069
"AUS",478356.210643355,2069
"EUR",1467332.17118865,2069
"LAM",843097.732902665,2069
"NAM",2050909.60405476,2069
"WORLD",12367487.553697,2069
"AFR",1514445.24332989,2070
"ASIA",6144947.82909488,2070
"AUS",476997.142020199,2070
"EUR",1462345.40134467,2070
"LAM",841082.239915057,2070
"NAM",2045084.91595359,2070
"WORLD",12334986.1403393,2070
"AFR",1510736.62329938,2071
"ASIA",6123405.51678329,2071
"AUS",475150.382603805,2071
"EUR",1456257.29441177,2071
"LAM",838059.823951155,2071
"NAM",2037225.762434,2071
"WORLD",12291043.6216354,2071
"AFR",1507028.30216558,2072
"ASIA",6101862.89101771,2072
"AUS",473303.439734098,2072
"EUR",1450169.27492963,2072
"LAM",835037.25567615,2072
"NAM",2029366.69816725,2072
"WORLD",12247100.9800179,2072
"AFR",1503319.64494526,2073
"ASIA",6080320.76441333,2073
"AUS",471456.602833657,2073
"EUR",1444081.13283683,2073
"LAM",832014.678656986,2073
"NAM",2021507.50904704,2073
"WORLD",12203158.2725541,2073
"AFR",1499611.21606312,2074
"ASIA",6058778.22182259,2074
"AUS",469609.816156448,2074
"EUR",1437993.12802512,2074
"LAM",828992.341187551,2074
"NAM",2013648.43020407,2074
"WORLD",12159215.9221327,2074
"AFR",1495902.52160127,2075
"ASIA",6037235.9188983,2075
"AUS",467763.052774646,2075
"EUR",1431905.04569969,2075
"LAM",825969.885135143,2075
"NAM",2005789.32487906,2075
"WORLD",12115273.4241094,2075
"AFR",1492194.00937142,2076
"ASIA",6015693.48018379,2076
"AUS",465916.124615605,2076
"EUR",1425816.8928598,2076
"LAM",822947.3309477,2076
"NAM",1997930.18442253,2076
"WORLD",12071330.5402161,2076
"AFR",1488485.73544009,2077
"ASIA",5994151.06224259,2077
"AUS",464069.404751805,2077
"EUR",1419728.82621148,2077
"LAM",819924.834828697,2077
"NAM",1990071.0733612,2077
"WORLD",12027388.3240941,2077
"AFR",1484777.1939222,2078
"ASIA",5972608.66307904,2078
"AUS",462222.608716103,2078
"EUR",1413640.80650169,2078
"LAM",816902.520949373,2078
"NAM",1982211.9252084,2078
"WORLD",11983446.0054659,2078
"AFR",1481068.50141846,2079
"ASIA",5951066.06128504,2079
"AUS",460375.714922129,2079
"EUR",1407552.64694501,2079
"LAM",813879.847751,2079
"NAM",1974352.87759454,2079
"WORLD",11939502.7644743,2079
"AFR",1477359.93763841,2080
"ASIA",5929523.78170773,2080
"AUS",458528.954234015,2080
"EUR",1401464.56797487,2080
"LAM",810857.458901342,2080
"NAM",1966493.65365467,2080
"WORLD",11895560.3844346,2080
"AFR",1474078.81626369,2081
"ASIA",5912962.61897982,2081
"AUS",457031.5399872,2081
"EUR",1397833.82846047,2081
"LAM",808505.849177683,2081
"NAM",1961683.79273915,2081
"WORLD",11863565.4517715,2081
"AFR",1470797.77346172,2082
"ASIA",5896401.59196795,2082
"AUS",455534.179933864,2082
"EUR",1394203.10701431,2082
"LAM",806154.376900924,2082
"NAM",1956873.95906372,2082
"WORLD",11831570.9070388,2082
"AFR",1467516.5990279,2083
"ASIA",5879840.2786645,2083
"AUS",454036.848965657,2083
"EUR",1390572.3079495,2083
"LAM",803802.836602844,2083
"NAM",1952064.08131819,2083
"WORLD",11799575.8292261,2083
"AFR",1464235.70121725,2084
"ASIA",5863279.21298403,2084
"AUS",452539.278657469,2084
"EUR",1386941.52662088,2084
"LAM",801451.394276552,2084
"NAM",1947254.21440583,2084
"WORLD",11767581.1569248,2084
"AFR",1460954.58626636,2085
"ASIA",5846718.04852883,2085
"AUS",451041.851608901,2085
"EUR",1383310.7694558,2085
"LAM",799099.866063627,2085
"NAM",1942444.43902653,2085
"WORLD",11735586.3857756,2085
"AFR",1457673.49239656,2086
"ASIA",5830157.07191505,2086
"AUS",449544.423658286,2086
"EUR",1379680.00137089,2086
"LAM",796748.349791562,2086
"NAM",1937634.45114739,2086
"WORLD",11703591.5166083,2086
"AFR",1454392.30547518,2087
"ASIA",5813595.99585908,2087
"AUS",448047.104511745,2087
"EUR",1376049.18125436,2087
"LAM",794396.930703199,2087
"NAM",1932824.57504251,2087
"WORLD",11671596.8079685,2087
"AFR",1451111.37170333,2088
"ASIA",5797034.88147479,2088
"AUS",446549.675881412,2088
"EUR",1372418.52740016,2088
"LAM",792045.377336507,2088
"NAM",1928014.72944933,2088
"WORLD",11639602.1641729,2088
"AFR",1447830.3508122,2089
"ASIA",5780473.82136635,2089
"AUS",445052.211956041,2089
"EUR",1368787.69906236,2089
"LAM",789693.914648981,2089
"NAM",1923204.8377613,2089
"WORLD",11607607.2942012,2089
"AFR",1444549.09584814,2090
"ASIA",5763912.62797037,2090
"AUS",443554.767641443,2090
"EUR",1365156.98596168,2090
"LAM",787342.531438352,2090
"NAM",1918394.82777866,2090
"WORLD",11575612.4019242,2090
"AFR",1441268.1279142,2091
"ASIA",5747351.46703395,2091
"AUS",442057.544428097,2091
"EUR",1361526.04363757,2091
"LAM",784991.03121769,2091
"NAM",1913585.06236907,2091
"WORLD",11543617.759278,2091
"AFR",1437987.06850888,2092
"ASIA",5730790.29137752,2092
"AUS",440560.077051287,2092
"EUR",1357895.36111873,2092
"LAM",782639.459756192,2092
"NAM",1908775.16723376,2092
"WORLD",11511622.9125223,2092
"AFR",1434705.85274934,2093
"ASIA",5714229.49710156,2093
"AUS",439062.56597339,2093
"EUR",1354264.63905952,2093
"LAM",780287.953145739,2093
"NAM",1903965.32834066,2093
"WORLD",11479628.2019188,2093
"AFR",1431424.83534368,2094
"ASIA",5697668.08782981,2094
"AUS",437565.140142077,2094
"EUR",1350633.81866497,2094
"LAM",777936.663536406,2094
"NAM",1899155.4330607,2094
"WORLD",11447633.3255329,2094
"AFR",1428143.73642987,2095
"ASIA",5681107.15306939,2095
"AUS",436067.69998664,2095
"EUR",1347003.20631147,2095
"LAM",775584.837294089,2095
"NAM",1894345.69096731,2095
"WORLD",11415638.735737,2095
"AFR",1424862.5431193,2096
"ASIA",5664546.07838025,2096
"AUS",434570.346402372,2096
"EUR",1343372.38875218,2096
"LAM",773233.648510271,2096
"NAM",1889535.74203614,2096
"WORLD",11383644.0056269,2096
"AFR",1421581.62298246,2097
"ASIA",5647984.76134435,2097
"AUS",433072.877014992,2097
"EUR",1339741.53780404,2097
"LAM",770881.993211047,2097
"NAM",1884725.93038398,2097
