"region","x","year"
"AUS",825554.205207366,2066
"EUR",1610324.4819343,2066
"LAM",1885895.16357194,2066
"NAM",2826393.02202582,2066
"WORLD",17618893.4038503,2066
"AFR",3298396.44130049,2067
"ASIA",7536172.75140096,2067
"AUS",826666.80384358,2067
"EUR",1608111.98132766,2067
"LAM",1888668.79354115,2067
"NAM",2829012.35151034,2067
"WORLD",17639604.6560114,2067
"AFR",3312883.49993563,2068
"ASIA",7539740.5263605,2068
"AUS",827779.491389614,2068
"EUR",1605899.53242208,2068
"LAM",1891442.32432232,2068
"NAM",2831631.91539304,2068
"WORLD",17660316.392688,2068
"AFR",3327370.54845132,2069
"ASIA",7543307.58300985,2069
"AUS",828891.97921998,2069
"EUR",1603687.12787188,2069
"LAM",1894215.96509421,2069
"NAM",2834251.37059123,2069
"WORLD",17681027.3468475,2069
"AFR",3341857.9858867,2070
"ASIA",7546875.28089623,2070
"AUS",830004.529124599,2070
"EUR",1601474.69889854,2070
"LAM",1896989.5739031,2070
"NAM",2836870.69519253,2070
"WORLD",17701739.0596166,2070
"AFR",3351021.34818813,2071
"ASIA",7549561.35968681,2071
"AUS",830847.405812348,2071
"EUR",1599114.53662946,2071
"LAM",1898248.64237067,2071
"NAM",2839249.32676064,2071
"WORLD",17714668.247844,2071
"AFR",3360184.99418387,2072
"ASIA",7552247.93454664,2072
"AUS",831690.361214017,2072
"EUR",1596754.57846839,2072
"LAM",1899507.73398208,2072
"NAM",2841627.84639537,2072
"WORLD",17727598.3547478,2072
"AFR",3369348.64344072,2073
"ASIA",7554934.01820028,2073
"AUS",832533.04462301,2073
"EUR",1594394.49122244,2073
"LAM",1900766.84166605,2073
"NAM",2844006.11725947,2073
"WORLD",17740527.3772391,2073
"AFR",3378512.23428824,2074
"ASIA",7557620.62216545,2074
"AUS",833375.88539322,2074
"EUR",1592034.42373999,2074
"LAM",1902026.07920461,2074
"NAM",2846384.60636385,2074
"WORLD",17753457.2515061,2074
"AFR",3387675.8496961,2075
"ASIA",7560306.75860248,2075
"AUS",834218.825387926,2075
"EUR",1589674.46160395,2075
"LAM",1903284.97432724,2075
"NAM",2848763.03862955,2075
"WORLD",17766386.6649256,2075
"AFR",3396839.36378274,2076
"ASIA",7562993.10968838,2076
"AUS",835061.568840052,2076
"EUR",1587314.41009461,2076
"LAM",1904544.22951895,2076
"NAM",2851141.41888461,2076
"WORLD",17779316.1027861,2076
"AFR",3406002.9730771,2077
"ASIA",7565679.35978355,2077
"AUS",835904.377293005,2077
"EUR",1584954.3433199,2077
"LAM",1905803.24099994,2077
"NAM",2853519.97686403,2077
"WORLD",17792245.5855353,2077
"AFR",3415166.70304436,2078
"ASIA",7568365.75876699,2078
"AUS",836747.182245079,2078
"EUR",1582594.30248603,2078
"LAM",1907062.25585813,2078
"NAM",2855898.48193959,2078
"WORLD",17805175.1887712,2078
"AFR",3424330.10173481,2079
"ASIA",7571051.73133275,2079
"AUS",837589.954810624,2079
"EUR",1580234.1908564,2079
"LAM",1908321.6099649,2079
"NAM",2858276.81919768,2079
"WORLD",17818104.288058,2079
"AFR",3433493.69712429,2080
"ASIA",7573738.15323096,2080
"AUS",838432.78601714,2080
"EUR",1577874.15028063,2080
"LAM",1909580.57185559,2080
"NAM",2860655.39355833,2080
"WORLD",17831033.9302497,2080
"AFR",3454719.06207795,2081
"ASIA",7578623.83013838,2081
"AUS",840323.562433791,2081
"EUR",1575817.0137532,2081
"LAM",1918659.9757054,2081
"NAM",2862758.71885232,2081
"WORLD",17865570.6206904,2081
"AFR",3475944.6351502,2082
"ASIA",7583509.75810292,2082
"AUS",842214.44077181,2082
"EUR",1573759.8303595,2082
"LAM",1927739.65744781,2082
"NAM",2864862.20774323,2082
"WORLD",17900108.2762234,2082
"AFR",3497169.91539592,2083
"ASIA",7588395.28875522,2083
"AUS",844105.123625834,2083
"EUR",1571702.71490536,2083
"LAM",1936819.22739253,2083
"NAM",2866965.51810908,2083
"WORLD",17934644.8178704,2083
"AFR",3518395.4733186,2084
"ASIA",7593281.00958574,2084
"AUS",845995.86591747,2084
"EUR",1569645.53159597,2084
"LAM",1945898.81632703,2084
"NAM",2869068.83601707,2084
"WORLD",17969181.8934631,2084
"AFR",3539620.93223199,2085
"ASIA",7598166.5738097,2085
"AUS",847886.683367386,2085
"EUR",1567588.42753316,2085
"LAM",1954978.36280181,2085
"NAM",2871172.16428032,2085
"WORLD",18003718.8149888,2085
"AFR",3560846.55108914,2086
"ASIA",7603052.31510291,2086
"AUS",849777.504001115,2086
"EUR",1565531.11253898,2086
"LAM",1964057.95829354,2086
"NAM",2873275.69518556,2086
"WORLD",18038256.0978222,2086
"AFR",3582071.94471397,2087
"ASIA",7607938.10569314,2087
"AUS",851668.264707377,2087
"EUR",1563473.94180073,2087
"LAM",1973137.67612099,2087
"NAM",2875379.09769209,2087
"WORLD",18072793.2445404,2087
"AFR",3603297.28840949,2088
"ASIA",7612823.98479986,2088
"AUS",853558.982496016,2088
"EUR",1561416.87645044,2088
"LAM",1982217.24635982,2088
"NAM",2877482.31008387,2088
"WORLD",18107330.2981552,2088
"AFR",3624522.57830808,2089
"ASIA",7617709.53854126,2089
"AUS",855449.713216958,2089
"EUR",1559359.67781477,2089
"LAM",1991296.72086376,2089
"NAM",2879585.92206226,2089
"WORLD",18141867.1127931,2089
"AFR",3645748.00662206,2090
"ASIA",7622595.17276878,2090
"AUS",857340.628683925,2090
"EUR",1557302.5780727,2090
