"region","x","year"
"ASIA",8438432.95741508,2066
"AUS",1092551.83410938,2066
"EUR",1920281.44777989,2066
"LAM",1993847.23795136,2066
"NAM",3253556.58793612,2066
"WORLD",20213799.1344664,2066
"AFR",3919609.57477428,2067
"ASIA",8448568.61759776,2067
"AUS",1096402.3209814,2067
"EUR",1924491.28168024,2067
"LAM",1999788.09053661,2067
"NAM",3257718.77319582,2067
"WORLD",20248586.2236021,2067
"AFR",3925725.96030445,2068
"ASIA",8458704.20443191,2068
"AUS",1100252.83476748,2068
"EUR",1928701.061455,2068
"LAM",2005728.94944249,2068
"NAM",3261881.00076681,2068
"WORLD",20283373.4823836,2068
"AFR",3931842.18249257,2069
"ASIA",8468839.96096085,2069
"AUS",1104103.31725094,2069
"EUR",1932910.83437229,2069
"LAM",2011669.72421527,2069
"NAM",3266043.33647079,2069
"WORLD",20318160.7584774,2069
"AFR",3937958.63560076,2070
"ASIA",8478975.6567158,2070
"AUS",1107953.94165288,2070
"EUR",1937120.56470204,2070
"LAM",2017610.4590324,2070
"NAM",3270205.48644932,2070
"WORLD",20352948.0668195,2070
"AFR",3949466.79394847,2071
"ASIA",8475416.74723415,2071
"AUS",1109543.50755026,2071
"EUR",1936306.1534018,2071
"LAM",2021491.46083386,2071
"NAM",3268046.02842692,2071
"WORLD",20362596.5485755,2071
"AFR",3960974.92127281,2072
"ASIA",8471857.63364459,2072
"AUS",1111132.91252047,2072
"EUR",1935491.77777805,2072
"LAM",2025372.54754183,2072
"NAM",3265886.55132121,2072
"WORLD",20372244.8097354,2072
"AFR",3972483.16574163,2073
"ASIA",8468298.72409556,2073
"AUS",1112722.45025374,2073
"EUR",1934677.33480014,2073
"LAM",2029253.6043819,2073
"NAM",3263726.99992473,2073
"WORLD",20381893.2805355,2073
"AFR",3983991.22189138,2074
"ASIA",8464739.82805812,2074
"AUS",1114311.96550061,2074
"EUR",1933862.9326359,2074
"LAM",2033134.71796649,2074
"NAM",3261567.52301305,2074
"WORLD",20391541.8280407,2074
"AFR",3995499.51864086,2075
"ASIA",8461181.00451109,2075
"AUS",1115901.5122555,2075
"EUR",1933048.53123429,2075
"LAM",2037015.71024224,2075
"NAM",3259408.03405387,2075
"WORLD",20401190.4429659,2075
"AFR",3996527.56777858,2076
"ASIA",8471663.5981073,2076
"AUS",1118732.57117747,2076
"EUR",1933871.10106561,2076
"LAM",2037415.43574501,2076
"NAM",3250101.9621535,2076
"WORLD",20407580.6170628,2076
"AFR",3997555.58382368,2077
"ASIA",8482146.04158118,2077
"AUS",1121563.62465874,2077
"EUR",1934693.73234546,2077
"LAM",2037815.18677217,2077
"NAM",3240795.8608708,2077
"WORLD",20413970.6103249,2077
"AFR",3998583.79798073,2078
"ASIA",8492628.7220046,2078
"AUS",1124394.72114225,2078
"EUR",1935516.33072385,2078
"LAM",2038215.00494382,2078
"NAM",3231489.77577992,2078
"WORLD",20420361.1932194,2078
"AFR",3999611.91742523,2079
"ASIA",8503111.36783078,2079
"AUS",1127225.82451807,2079
"EUR",1936338.82191286,2079
"LAM",2038614.78116981,2079
"NAM",3222183.82079251,2079
"WORLD",20426751.5346037,2079
"AFR",4000640.06189512,2080
"ASIA",8513593.95978267,2080
"AUS",1130056.85232947,2080
"EUR",1937161.43377483,2080
"LAM",2039014.48797597,2080
"NAM",3212877.74781254,2080
"WORLD",20433141.7376487,2080
"AFR",4010164.77239772,2081
"ASIA",8523262.99580178,2081
