"region","x","year"
"EUR",1805440.2652237,2066
"LAM",1645973.34351857,2066
"NAM",2884517.4728893,2066
"WORLD",17296687.042185,2066
"AFR",2196994.34793456,2067
"ASIA",8171869.31095968,2067
"AUS",826181.702987196,2067
"EUR",1808134.20691996,2067
"LAM",1651197.44075117,2067
"NAM",2895664.44184645,2067
"WORLD",17347079.0827643,2067
"AFR",2204170.1902999,2068
"ASIA",8194746.31404106,2068
"AUS",828131.671800904,2068
"EUR",1810828.26385738,2068
"LAM",1656421.25704654,2068
"NAM",2906811.35010207,2068
"WORLD",17397470.9291533,2068
"AFR",2211346.12983492,2069
"ASIA",8217623.22968093,2069
"AUS",830081.580924734,2069
"EUR",1813522.2112241,2069
"LAM",1661645.26652619,2069
"NAM",2917958.48206598,2069
"WORLD",17447863.0985647,2069
"AFR",2218521.89051926,2070
"ASIA",8240499.97794232,2070
"AUS",832031.505728575,2070
"EUR",1816216.24600646,2070
"LAM",1666869.03855716,2070
"NAM",2929105.50999101,2070
"WORLD",17498254.7757677,2070
"AFR",2229863.66402399,2071
"ASIA",8265121.90783262,2071
"AUS",835758.154497785,2071
"EUR",1820169.08193304,2071
"LAM",1674014.14945663,2071
"NAM",2940842.61447584,2071
"WORLD",17559820.2699704,2071
"AFR",2241205.50367053,2072
"ASIA",8289744.0651829,2072
"AUS",839484.822442725,2072
"EUR",1824122.05498685,2072
"LAM",1681158.95790186,2072
"NAM",2952579.75587433,2072
"WORLD",17621385.8636934,2072
"AFR",2252547.20137559,2073
"ASIA",8314365.63978347,2073
"AUS",843211.467653849,2073
"EUR",1828074.77335518,2073
"LAM",1688303.95399797,2073
"NAM",2964316.88882099,2073
"WORLD",17682950.8130794,2073
"AFR",2263889.03532885,2074
"ASIA",8338987.5558215,2074
"AUS",846938.210797864,2074
"EUR",1832027.60759652,2074
"LAM",1695448.84148263,2074
"NAM",2976053.86424327,2074
"WORLD",17744516.137026,2074
"AFR",2275230.82312026,2075
"ASIA",8363609.79290343,2075
"AUS",850664.899809982,2075
"EUR",1835980.42425155,2075
"LAM",1702593.70757693,2075
"NAM",2987791.14248877,2075
"WORLD",17806081.8955362,2075
"AFR",2286572.56655062,2076
"ASIA",8388231.24654744,2076
"AUS",854391.656736542,2076
"EUR",1839933.33306177,2076
"LAM",1709738.85334942,2076
"NAM",2999528.20088329,2076
"WORLD",17867647.1702912,2076
"AFR",2297914.4041635,2077
"ASIA",8412853.00906416,2077
"AUS",858118.302732467,2077
"EUR",1843886.04939602,2077
"LAM",1716883.5677146,2077
"NAM",3011265.39235868,2077
"WORLD",17929212.1352195,2077
"AFR",2309256.2191675,2078
"ASIA",8437474.89956904,2078
"AUS",861844.911741331,2078
"EUR",1847838.96997817,2078
"LAM",1724028.65044596,2078
"NAM",3023002.52821717,2078
"WORLD",17990777.704386,2078
"AFR",2320597.94038965,2079
"ASIA",8462097.05741735,2079
"AUS",865571.630216797,2079
"EUR",1851791.79450932,2079
"LAM",1731173.41860051,2079
"NAM",3034739.65684684,2079
"WORLD",18052343.0539119,2079
"AFR",2331939.66519468,2080
"ASIA",8486718.80891362,2080
"AUS",869298.37557193,2080
"EUR",1855744.60336914,2080
"LAM",1738318.44814832,2080
"NAM",3046476.64314429,2080
"WORLD",18113908.3124156,2080
"AFR",2358201.72552814,2081
"ASIA",8504471.34441282,2081
"AUS",869560.06034158,2081
"EUR",1865035.32764707,2081
"LAM",1748808.42041629,2081
"NAM",3058572.95319005,2081
"WORLD",18185874.7227551,2081
"AFR",2384463.59071954,2082
"ASIA",8522223.80766262,2082
"AUS",869821.833838598,2082
"EUR",1874326.03208098,2082
"LAM",1759298.47827389,2082
"NAM",3070669.32911456,2082
"WORLD",18257841.1137444,2082
"AFR",2410725.70967637,2083
"ASIA",8539976.28041513,2083
"AUS",870083.66876805,2083
"EUR",1883616.73098295,2083
"LAM",1769788.72022623,2083
"NAM",3082765.52565307,2083
"WORLD",18329807.855804,2083
"AFR",2436987.61109835,2084
"ASIA",8557728.882756,2084
"AUS",870345.407837765,2084
"EUR",1892907.4274823,2084
"LAM",1780278.61842712,2084
"NAM",3094861.76309681,2084
"WORLD",18401774.0902222,2084
"AFR",2463249.5368916,2085
"ASIA",8575481.18566883,2085
"AUS",870607.217231857,2085
"EUR",1902198.18252745,2085
"LAM",1790768.91925701,2085
"NAM",3106958.12502471,2085
"WORLD",18473740.6865328,2085
"AFR",2489511.32720454,2086
"ASIA",8593233.87742115,2086
"AUS",870868.971344096,2086
"EUR",1911488.89058669,2086
"LAM",1801258.93912199,2086
"NAM",3119054.36847344,2086
"WORLD",18545707.1446512,2086
"AFR",2515773.30153144,2087
"ASIA",8610986.46339456,2087
"AUS",871130.689186663,2087
"EUR",1920779.61027115,2087
"LAM",1811748.92802434,2087
"NAM",3131150.48874754,2087
"WORLD",18617673.3543465,2087
