"region","x","year"
"AFR",2148318.61971992,2006
"ASIA",7118129.02187455,2006
"AUS",711776.832246407,2006
"EUR",1678072.85489272,2006
"LAM",1264596.29218745,2006
"NAM",2579850.27965172,2006
"WORLD",15161285.9695659,2006
"AFR",2163980.23948603,2007
"ASIA",7133664.47794242,2007
"AUS",712801.056192134,2007
"EUR",1678704.36440169,2007
"LAM",1269839.53103645,2007
"NAM",2582976.07595601,2007
"WORLD",15199323.4136461,2007
"AFR",2179641.85102546,2008
"ASIA",7149199.54710664,2008
"AUS",713823.911889472,2008
"EUR",1679336.00336573,2008
"LAM",1275082.7017886,2008
"NAM",2586101.672229,2008
"WORLD",15237358.9371723,2008
"AFR",2195303.46722259,2009
"ASIA",7164734.52476526,2009
"AUS",714847.17225915,2009
"EUR",1679967.6246948,2009
"LAM",1280325.87423961,2009
"NAM",2589227.39549513,2009
"WORLD",15275394.8842663,2009
"AFR",2210965.20422873,2010
"ASIA",7180269.50217617,2010
"AUS",715870.593250802,2010
"EUR",1680599.23465519,2010
"LAM",1285569.07211325,2010
"NAM",2592353.08766283,2010
"WORLD",15313431.085808,2010
"AFR",2234307.88163742,2011
"ASIA",7207188.5519123,2011
"AUS",721525.900719082,2011
"EUR",1684576.32844801,2011
"LAM",1296078.51981041,2011
"NAM",2599739.41315647,2011
"WORLD",15385349.6861708,2011
"AFR",2257650.35985265,2012
"ASIA",7234107.19773629,2012
"AUS",727181.307413464,2012
"EUR",1688553.45911613,2012
"LAM",1306588.09627237,2012
"NAM",2607125.59569087,2012
"WORLD",15457267.881025,2012
"AFR",2280992.77571858,2013
"ASIA",7261025.95077164,2013
"AUS",732836.625216745,2013
"EUR",1692530.54987007,2013
"LAM",1317097.53209873,2013
"NAM",2614511.99673878,2013
"WORLD",15529186.1085867,2013
"AFR",2304335.30031286,2014
"ASIA",7287944.64535508,2014
"AUS",738491.949147484,2014
"EUR",1696507.72184591,2014
"LAM",1327607.0856552,2014
"NAM",2621898.21473521,2014
"WORLD",15601104.3601462,2014
"AFR",2327677.79689063,2015
"ASIA",7314863.53957436,2015
"AUS",744147.373085387,2015
"EUR",1700484.811899,2015
"LAM",1338116.59988319,2015
"NAM",2629284.57115275,2015
"WORLD",15673022.8728076,2015
"AFR",2349712.93957465,2016
"ASIA",7349195.57233465,2016
"AUS",751007.824142183,2016
"EUR",1705715.9690635,2016
"LAM",1348107.33061408,2016
"NAM",2639128.60892801,2016
"WORLD",15754842.3149082,2016
"AFR",2371747.98743466,2017
"ASIA",7383527.73083256,2017
"AUS",757868.279353145,2017
"EUR",1710946.99433212,2017
"LAM",1358098.12797384,2017
"NAM",2648972.77443385,2017
"WORLD",15836661.9713782,2017
"AFR",2393783.25962077,2018
"ASIA",7417859.84487212,2018
"AUS",764728.723559546,2018
"EUR",1716178.10783987,2018
"LAM",1368088.82728607,2018
"NAM",2658816.84816664,2018
"WORLD",15918481.5298561,2018
"AFR",2415818.317866,2019
"ASIA",7452192.21377225,2019
"AUS",771589.233979043,2019
"EUR",1721409.26707653,2019
"LAM",1378079.5899311,2019
"NAM",2668660.93345082,2019
"WORLD",16000301.466272,2019
"AFR",2437853.45454723,2020
"ASIA",7486524.38668667,2020
"AUS",778449.620420743,2020
"EUR",1726640.41539413,2020
"LAM",1388070.38624486,2020
"NAM",2678505.0580387,2020
"WORLD",16082121.1309729,2020
"AFR",2470482.01489793,2021
"ASIA",7555588.1944823,2021
"AUS",785705.010069791,2021
"EUR",1739291.19460553,2021
"LAM",1405056.71962134,2021
"NAM",2700960.22649729,2021
"WORLD",16233174.8102534,2021
"AFR",2503110.79544145,2022
"ASIA",7624651.9221739,2022
"AUS",792960.411165842,2022
"EUR",1751941.97553779,2022
"LAM",1422043.11173033,2022
"NAM",2723415.4626604,2022
"WORLD",16384228.7037268,2022
"AFR",2535739.35727946,2023
"ASIA",7693715.78925397,2023
"AUS",800215.799951071,2023
"EUR",1764592.80874477,2023
"LAM",1439029.43038368,2023
"NAM",2745870.59309233,2023
"WORLD",16535282.3933094,2023
"AFR",2568368.14373514,2024
"ASIA",7762779.70480331,2024
"AUS",807471.176373716,2024
"EUR",1777243.55352415,2024
"LAM",1456015.80096906,2024
"NAM",2768325.8095023,2024
"WORLD",16686336.3982109,2024
"AFR",2600996.77240293,2025
"ASIA",7831843.59603341,2025
"AUS",814726.540157846,2025
"EUR",1789894.38054463,2025
"LAM",1473002.16494245,2025
"NAM",2790780.99625739,2025
"WORLD",16837390.2585774,2025
"AFR",2632315.24900412,2026
"ASIA",7892415.90624609,2026
"AUS",821222.158066376,2026
"EUR",1800404.3789073,2026
"LAM",1486992.41096968,2026
"NAM",2814209.66667015,2026
"WORLD",16975536.7912296,2026
"AFR",2663633.46441055,2027
"ASIA",7952988.33346542,2027
"AUS",827717.72893735,2027
"EUR",1810914.42085785,2027
"LAM",1500982.76860652,2027
"NAM",2837638.08801773,2027
"WORLD",17113683.1628011,2027
"AFR",2694951.87828133,2028
"ASIA",8013560.82875643,2028
"AUS",834213.325096934,2028
"EUR",1821424.46119811,2028
"LAM",1514973.0142154,2028
"NAM",2861066.66317984,2028
"WORLD",17251829.6918705,2028
"AFR",2726270.202919,2029
"ASIA",8074133.0942085,2029
"AUS",840708.910738081,2029
"EUR",1831934.45696617,2029
"LAM",1528963.33610595,2029
"NAM",2884495.28297708,2029
"WORLD",17389976.0707656,2029
"AFR",2757588.69610799,2030
"ASIA",8134705.43304065,2030
"AUS",847204.436911805,2030
"EUR",1842444.46473891,2030
"LAM",1542953.6304174,2030
"NAM",2907923.80088903,2030
"WORLD",17528122.5239554,2030
"AFR",2782108.46725613,2031
"ASIA",8168113.09549878,2031
"AUS",851684.218941665,2031
"EUR",1847937.99526982,2031
"LAM",1555702.58376094,2031
"NAM",2917916.8375819,2031
"WORLD",17613848.2678852,2031
"AFR",2806628.32245785,2032
"ASIA",8201520.84796148,2032
"AUS",856163.90515139,2032
"EUR",1853431.39583091,2032
"LAM",1568451.50631401,2032
"NAM",2927909.94767663,2032
"WORLD",17699574.092411,2032
"AFR",2831148.16990173,2033
"ASIA",8234928.34443364,2033
"AUS",860643.571962338,2033
"EUR",1858924.88498092,2033
"LAM",1581200.51354468,2033
"NAM",2937902.97061694,2033
"WORLD",17785299.7542792,2033
"AFR",2855667.95193227,2034
"ASIA",8268336.1610828,2034
"AUS",865123.312506494,2034
"EUR",1864418.35866422,2034
"LAM",1593949.46336303,2034
"NAM",2947896.04033046,2034
"WORLD",17871025.5957341,2034
"AFR",2880187.86474823,2035
"ASIA",8301743.68865658,2035
"AUS",869603.015639621,2035
"EUR",1869911.82093071,2035
"LAM",1606698.43140873,2035
"NAM",2957889.06284057,2035
"WORLD",17956751.3129578,2035
"AFR",2910660.62268465,2036
"ASIA",8352239.18700992,2036
"AUS",873112.509814511,2036
"EUR",1878334.89654102,2036
"LAM",1620835.02157841,2036
"NAM",2971882.10159793,2036
"WORLD",18070682.3950622,2036
"AFR",2941133.59388157,2037
"ASIA",8402734.50078104,2037
"AUS",876622.024522267,2037
"EUR",1886757.99825281,2037
"LAM",1634971.58269501,2037
"NAM",2985875.06856038,2037
"WORLD",18184613.3736396,2037
"AFR",2971606.47610131,2038
"ASIA",8453230.04485378,2038
"AUS",880131.539625996,2038
"EUR",1895181.06389636,2038
"LAM",1649108.15377057,2038
"NAM",2999868.01014944,2038
"WORLD",18298544.3917796,2038
"AFR",3002079.30893866,2039
"ASIA",8503725.41166908,2039
"AUS",883640.973521705,2039
"EUR",1903604.12218225,2039
"LAM",1663244.7390126,2039
"NAM",3013861.03936289,2039
"WORLD",18412475.3372041,2039
"AFR",3032552.30361202,2040
"ASIA",8554220.85633893,2040
"AUS",887150.516985481,2040
"EUR",1912027.22580784,2040
"LAM",1677381.35631468,2040
"NAM",3027854.05890918,2040
"WORLD",18526406.5505244,2040
"AFR",3059873.97991675,2041
"ASIA",8596526.10416139,2041
"AUS",890883.19146971,2041
"EUR",1919023.50264499,2041
"LAM",1689182.10817077,2041
"NAM",3040365.4448116,2041
"WORLD",18624233.206126,2041
"AFR",3087195.63328677,2042
"ASIA",8638831.269753,2042
"AUS",894616.002413405,2042
"EUR",1926019.76270248,2042
"LAM",1700982.8602796,2042
"NAM",3052876.82205411,2042
"WORLD",18722059.8869761,2042
"AFR",3114517.35588159,2043
"ASIA",8681136.37554176,2043
"AUS",898348.735226621,2043
"EUR",1933016.0887975,2043
"LAM",1712783.59995843,2043
"NAM",3065388.24847077,2043
"WORLD",18819886.6056449,2043
