"region","x","year"
"AUS",735071.595532795,2020
"EUR",1584965.50557703,2020
"LAM",1280690.91752979,2020
"NAM",2410081.77774867,2020
"WORLD",14045634.1956585,2020
"AFR",1466107.37327358,2021
"ASIA",6828293.79376843,2021
"AUS",743295.422226976,2021
"EUR",1586081.18154364,2021
"LAM",1282980.38635063,2021
"NAM",2415866.8017871,2021
"WORLD",14078314.6228663,2021
"AFR",1458547.24709626,2022
"ASIA",6850971.34309032,2022
"AUS",751519.195609478,2022
"EUR",1587196.96616449,2022
"LAM",1285269.97358805,2022
"NAM",2421651.80263277,2022
"WORLD",14110995.1414925,2022
"AFR",1450987.269639,2023
"ASIA",6873648.98149894,2023
"AUS",759742.922205642,2023
"EUR",1588312.72028147,2023
"LAM",1287559.52475402,2023
"NAM",2427436.82551188,2023
"WORLD",14143675.7300582,2023
"AFR",1443427.21716045,2024
"ASIA",6896326.48884837,2024
"AUS",767966.72118183,2024
"EUR",1589428.4134011,2024
"LAM",1289849.0472155,2024
"NAM",2433221.88953982,2024
"WORLD",14176356.1563261,2024
"AFR",1435867.26994876,2025
"ASIA",6919004.19631528,2025
"AUS",776190.426401972,2025
"EUR",1590544.18700059,2025
"LAM",1292138.63303308,2025
"NAM",2439006.96256069,2025
"WORLD",14209036.8903987,2025
"AFR",1433349.20400356,2026
"ASIA",6948312.56081763,2026
"AUS",778075.143673898,2026
"EUR",1597572.08276114,2026
"LAM",1287964.38672189,2026
"NAM",2456659.01210211,2026
"WORLD",14258604.3043322,2026
"AFR",1430831.33152979,2027
"ASIA",6977621.17691192,2027
"AUS",779959.789256437,2027
"EUR",1604599.96616313,2027
"LAM",1283790.14565051,2027
"NAM",2474311.08936544,2027
"WORLD",14308171.9265119,2027
"AFR",1428313.4814496,2028
"ASIA",7006929.54411189,2028
"AUS",781844.531680224,2028
"EUR",1611627.87664258,2028
"LAM",1279615.86315127,2028
"NAM",2491963.21361729,2028
"WORLD",14357739.501942,2028
"AFR",1425795.5108469,2029
"ASIA",7036238.11132721,2029
"AUS",783729.170964998,2029
"EUR",1618655.73433367,2029
"LAM",1275441.5798354,2029
"NAM",2509615.23247268,2029
"WORLD",14407306.8352219,2029
