Region,Scenario,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2100
World,MESSAGE - RCP 8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,6.735,7.971,8.926,10.232,11.538,12.6885,13.839,15.313,16.787,18.496,20.205,21.9005,23.596,24.779,25.962,26.684,27.406,27.8715,28.337,28.74
