"case","year","TREFHT_K","TS_K","PRECT_mmperyr","QREFHT_massfrac","RHREFHT_percent","LHFLX_Wperm2","SHFLX_Wperm2","FLNS_Wperm2","FLNT_Wperm2","FSNS_Wperm2","FSNT_Wperm2","FLDVG_Wperm2","FSDVG_Wperm2","RESTOM_Wperm2"
"iESM45_coupled",2005,287.24676998758,288.028827754749,1112.47275272491,0.0100879225495606,78.0042193929451,88.2714376550301,18.4724448684958,54.0150902102655,236.368223184352,161.898845852731,236.775849458228,-182.353132974086,74.8770036054971,0.407626273876323
"iESM45_coupled",2006,287.188868143291,287.976444539403,1108.57554643321,0.0100415245760325,78.0504161518176,87.92226235067,18.4443613119915,53.9003865677996,235.986781027458,161.64557424687,236.467860527387,-182.086394459658,74.8222862805176,0.481079499929536
"iESM45_coupled",2007,287.052882564631,287.828095434912,1106.5638011645,0.00997623235554795,78.1082133012054,87.7675621972745,18.2156536320824,54.1862351953433,235.792969682443,162.109784549379,236.807678065622,-181.6067344871,74.6978935162438,1.01470838317946
"iESM45_coupled",2008,287.078305955887,287.859586539531,1105.19740742222,0.0100332891925444,78.0765210529106,87.6790699306545,18.3966902422616,54.1628683322604,235.89119093506,162.144530563448,236.970222576688,-181.7283226028,74.8256920132401,1.07903164162792
"iESM45_coupled",2009,287.243532060165,288.031462697413,1109.80918687897,0.0101093006076196,78.0733710266265,88.0705297346822,18.5687933072575,53.9917257806941,236.213211510289,162.078557238876,236.892172081447,-182.221485729595,74.813614842571,0.678960571157827
"iESM45_coupled",2010,287.224903561724,288.000250759538,1112.29583149427,0.0101339511711535,78.2079635075307,88.2336877028699,18.4115170717645,53.5039227959109,236.015133678647,161.529547736428,236.621068245555,-182.511210882736,75.0915205091275,0.605934566908402
"iESM45_coupled",2011,287.289119378753,288.067736334948,1110.72403899439,0.0101253958041752,78.0569394145034,88.0989336581961,18.3037330790216,53.8118722960044,236.03234814891,162.090913907131,237.069413877887,-182.220475852905,74.9784999707563,1.03706572897741
"iESM45_coupled",2012,287.376389469161,288.156040705933,1111.73645757431,0.0101677507519403,78.0348712903903,88.1969331487993,18.4051786631565,53.8705757142412,236.311377363713,162.35673685535,237.333081099101,-182.440801649471,74.9763442437511,1.02170373538833
"iESM45_coupled",2013,287.423640422025,288.205352347493,1114.58522310024,0.0102330432643251,77.9230969352832,88.4408678416624,18.6520305543905,53.6904624962034,236.691449952713,162.071621854423,237.309386301527,-183.00098745651,75.2377644471048,0.617936348813909
"iESM45_coupled",2014,287.483345596237,288.266708881106,1120.32017560687,0.0102945368756086,78.0577956598358,88.8992578651414,18.3860421029574,53.3918911262538,236.656651647775,161.915820853702,237.065297494047,-183.264760521521,75.1494766403443,0.408645846271355
"iESM45_coupled",2015,287.320585055115,288.091436710953,1114.75772058998,0.0101845986711229,78.1313183052617,88.3699023414183,18.2630973335004,53.5115292706562,236.171807748565,161.679062106977,236.841380448906,-182.660278477909,75.1623183419283,0.669572700340822
"iESM45_coupled",2016,287.40933722909,288.194711850022,1109.25894583895,0.0101688607279671,77.9964986481157,88.0358587824403,18.518965104482,53.8313791169608,236.143709720507,162.341212452219,237.289250520506,-182.312330603547,74.9480380682867,1.14554079999849
"iESM45_coupled",2017,287.549651837742,288.336136420103,1113.49722331172,0.0102707180391413,77.914803787346,88.3139644642609,18.5147551141556,53.6913885601952,236.516620805442,162.358614662158,237.502496829776,-182.825232245247,75.1438821676182,0.985876024334491
"iESM45_coupled",2018,287.669834726764,288.447389164669,1118.41350855786,0.0102443494511936,77.7494384355495,88.6668535536331,18.5928803376309,53.803488266835,236.954262264238,162.518773878579,237.581313145323,-183.150773997403,75.0625392667446,0.627050881085445
"iESM45_coupled",2019,287.502680263897,288.28406614166,1108.65925905623,0.0101986274287973,77.9313310199112,87.9627302132404,18.4373950918538,53.6392428977326,235.988656920877,162.083132089671,237.183317960217,-182.349414023144,75.1001858705461,1.19466103934021
"iESM45_coupled",2020,287.53019654082,288.304713394027,1111.91187926338,0.0102286554091942,77.9438776539888,88.2259397256748,18.4675037213412,53.707246869905,236.202931995593,162.390878019705,237.495691181947,-182.495685125688,75.104813162242,1.29275918635405
"iESM45_coupled",2021,287.563381291885,288.337362156002,1113.98849954343,0.0102640727968019,78.0428646848314,88.324104104242,18.4503294748847,53.5344049358864,236.264259463253,162.408429791971,237.457941969425,-182.729854527367,75.0495121774539,1.19368250617201
"iESM45_coupled",2022,287.557422284382,288.319758132963,1112.28784284648,0.0102576846776266,78.0156301759715,88.2787111041428,18.368773721365,53.5883690728318,236.170320529521,162.477038713189,237.68496223074,-182.581951456689,75.2079235175511,1.5146417012198
"iESM45_coupled",2023,287.717579911189,288.494399053431,1115.78354923898,0.0103274172951188,77.9798363521136,88.5462287986704,18.3599192586604,53.6357587442918,236.566139131859,162.886670729661,238.127662576359,-182.930380387567,75.2409918466981,1.56152344450018
"iESM45_coupled",2024,287.853180576996,288.623975849087,1121.50901452914,0.0103915049043757,78.0202192323367,88.9232642791732,18.3679416372382,53.2176240272675,236.78607755752,162.395398004891,237.822150968954,-183.568453530252,75.4267529640635,1.03607341143477
"iESM45_coupled",2025,287.954472097032,288.744159253828,1122.56728932076,0.0104883639021707,78.0300741719094,89.1108581848759,18.4840803281451,53.2613424068096,236.75352811206,163.025397235594,238.344844818675,-183.49218570525,75.3194475830807,1.59131670661524
