"case","year","SFCO2_PgCperyr","SFCO2_FFF_PgCperyr","SFCO2_LND_PgCperyr","SFCO2_OCN_PgCperyr","TMCO2_PgC_avg","TMCO2_FFF_PgC_avg","TMCO2_LND_PgC_avg","TMCO2_OCN_PgC_avg","BURDENBC_PgC_avg","co2vmr_ppmv_avg","ch4vmr_ppmv_avg","co2vmr_PgC_avg","ch4vmr_PgC_avg","TMCO2_ppmv_avg"
"iesm45_coupled",2005,6.12105762744149,7.67063414624729,0.376349944908662,-1.92592646251006,839.590488176161,908.777355732623,656.307760196848,472.980015370464,8.35720191519813e-05,379.904033699744,1.75415706444561,810.787333292726,3.74370420500068,393.400093978655
"iesm45_coupled",2006,4.92132530506358,7.95345491526535,-0.935039923966695,-2.09708969299677,845.719726135315,916.592183645043,656.703238274172,470.898947315494,8.28466210250509e-05,381.883819985757,1.75601130769947,815.012573092614,3.74766151213541,396.272021213546
"iesm45_coupled",2007,3.01555514769489,8.01863216292883,-2.86858421983526,-2.13449279636294,849.249542714481,924.579980977676,654.36892365481,468.775281165959,8.1302671268643e-05,383.873080224774,1.75896474959116,819.258032106856,3.75396471784786,397.925958690837
"iesm45_coupled",2008,6.47460413789921,8.08189643878688,0.69296312896149,-2.30025542482673,854.16926490777,932.631067071215,653.411280793673,466.601560166116,8.34469150431576e-05,385.965515932043,1.76222510918478,823.723687158373,3.76092294420504,400.231152949758
"iesm45_coupled",2009,5.64449219741599,8.14516071027121,-0.126921401224257,-2.37374711624352,860.097613369049,940.745417444456,653.584811173088,464.242027889318,8.54003881015347e-05,388.130468080663,1.76557546414482,828.344106063095,3.76807323775991,403.008951024712
"iesm45_coupled",2010,4.9708775413233,8.21017274211941,-0.787385279872481,-2.45190992270369,865.736022776359,948.923059196257,653.501805488942,461.785801219123,8.1392876304254e-05,390.290175718256,1.76887014021249,832.953332185605,3.77510470198775,405.650894712693
"iesm45_coupled",2011,4.63229435259836,8.39870159654457,-1.31975883174584,-2.44664842066645,870.006046363696,957.226993051617,651.892710537957,459.360985924886,8.26543216638547e-05,392.436889036368,1.77213795714267,837.53482596335,3.78207884371692,407.651664974155
"iesm45_coupled",2012,5.95452781073298,8.5885578007229,-0.14808653733309,-2.48594345046923,875.620119375033,965.720766108345,651.429230958075,456.94476533819,8.31965834849491e-05,394.592112085103,1.77541188351217,842.134481121832,3.78906602414949,410.282205554791
"iesm45_coupled",2013,7.71398379022826,8.77841400764901,1.59079463811855,-2.65522485835525,882.049980305073,974.404395370657,651.780448225861,454.339779794405,8.35627837504438e-05,396.764404812278,1.77871886137467,846.770566214809,3.79612374274302,413.294993252806
"iesm45_coupled",2014,5.30742665696602,8.9682702142924,-0.837795854665488,-2.82304770706294,889.145060920022,983.277880896053,652.76765504838,451.574168104753,8.14558075291667e-05,398.957022295505,1.78209082758403,851.450028195888,3.80332015880688,416.619477534149
"iesm45_coupled",2015,5.42858270426612,9.15697050703984,-1.078157403667,-2.650230402565,894.205511455752,992.34120458717,651.435984485808,448.902965436242,7.99355007100117e-05,401.167809007172,1.78554227164949,856.168266759915,3.81068619570463,418.990611729172
"iesm45_coupled",2016,7.96107214012181,9.26024756285251,1.54743571839283,-2.84661113168141,900.600462639102,1001.55028832699,651.424431329462,446.100386015231,8.12613348868101e-05,403.390389245095,1.78905635716624,860.911674947991,3.81818592135203,421.987042050797
"iesm45_coupled",2017,8.52976768090343,9.36270813318317,2.02295109284684,-2.85589154034305,909.489995840895,1010.86184305465,653.841776304373,443.261019663091,8.12608311502461e-05,405.619921042109,1.79260969783188,865.669919082933,3.82576942493982,426.152338402127
"iesm45_coupled",2018,5.19589468646251,9.46516869854871,-1.43222184663549,-2.83705217184264,915.802479643366,1020.27585835807,653.633644736306,440.367619657676,8.22196076242005e-05,407.855672098891,1.79618852035663,870.441436298955,3.83340731165271,429.110127653081
"iesm45_coupled",2019,5.62114768867574,9.56762926906367,-1.1395236663602,-2.80695790809981,921.557004142881,1029.79233421286,652.61267297242,437.626640098511,7.99602311395624e-05,410.098902556508,1.79978350163261,875.228915976336,3.8410796842085,431.806478446465
"iesm45_coupled",2020,4.66692764555252,9.67044602979283,-2.15929123942649,-2.84422714392783,926.353666384181,1039.41127615918,650.688590924438,434.72844241331,8.09056042758586e-05,412.347170763608,1.80334885285701,880.027147167538,3.84868882060889,434.054011503456
"iesm45_coupled",2021,5.43865050159777,9.79958910260417,-1.73351997754637,-2.62741861925676,931.883067387896,1049.1462684474,649.196273991405,432.015168044521,7.99249261795685e-05,414.603043256643,1.80677525805513,884.841607348609,3.85600141981009,436.644878009379
"iesm45_coupled",2022,4.87774961354365,9.92898373830283,-2.54706753986395,-2.50416659243561,936.776659282204,1059.01065219655,646.764565964554,429.476084278672,7.95856589304196e-05,416.883222487885,1.80998261208936,889.707942723689,3.86284652224035,438.937828606397
"iesm45_coupled",2023,5.25466208965229,10.0583783740542,-2.1926526838969,-2.61106360409514,941.587923769021,1069.00443047922,644.172961335415,426.885175065971,7.98961064798562e-05,419.202249580851,1.81298575957559,894.657186811015,3.86925580912822,441.192203718938
"iesm45_coupled",2024,5.29035681050591,10.1877730152405,-2.10763062061555,-2.7897855817185,947.427813352482,1079.12760343447,642.576632741843,424.198220152402,7.9693482895344e-05,421.564279795922,1.81583635642131,899.698207725123,3.87533952398727,443.928553336177
