case,year,DWT_CLOSS_PgCperyr,WOOD_HARVESTC_PgCperyr,DWT_PROD10C_GAIN_PgCperyr,DWT_PROD100C_GAIN_PgCperyr,NEE_PgCperyr,NPP_PgCperyr,COL_FIRE_CLOSS_PgCperyr,PROD10C_PgC_avg,PROD100C_PgC_avg,TOTVEGC_PgC_avg,TOTSOMC_PgC_avg,TOTECOSYSC_PgC_avg,PBOT_Pa,QBOT_massfrac,co2_ppmv
iesm85_coupled,2006,0.113765741,1.010320841,0.057224699,0.003069721,-0.826920929,47.07786448,2.029387879,4.644255814,4.264221148,527.9925977,513.0247211,1124.351211,91887.66429,0.007067373,409.667106
iesm85_coupled,2007,0.10837301,1.053546695,0.055060124,0.002797982,-0.435857425,46.66498723,2.109476193,4.601804342,4.252356272,528.8690574,513.1040099,1125.441094,91886.55385,0.006956839,411.6980163
iesm85_coupled,2008,0.108177698,1.059978014,0.054869579,0.003014729,-0.032609629,46.81714842,2.253823287,4.587811296,4.241521208,528.3110352,513.5538582,1125.366324,91885.6844,0.007004902,414.5674682
iesm85_coupled,2009,0.107615559,1.067345388,0.05449912,0.002850088,-1.86764307,47.71425903,2.150826949,4.581766974,4.231576356,530.134858,513.4011975,1126.528821,91887.65319,0.007092889,416.5847894
iesm85_coupled,2010,0.187896905,1.079478398,0.093418956,0.003926342,0.333530245,46.29792253,2.360034233,4.602662281,4.223720637,529.9913522,513.5532461,1127.597876,91892.54893,0.00690916,418.8620206
iesm85_coupled,2011,0.185579791,1.091443283,0.093556937,0.00383976,-0.148481227,47.0876525,2.08024296,4.645038456,4.21833902,528.6905258,514.3100662,1126.766182,91875.57892,0.006925347,421.795917
iesm85_coupled,2012,0.180042566,1.108133007,0.09005826,0.003770117,-1.10478092,47.08944875,2.168696301,4.68827605,4.215046136,531.0314033,514.137563,1128.157938,91866.51628,0.006916789,423.8867655
iesm85_coupled,2013,0.181079994,1.132307499,0.090174991,0.004042355,0.005704373,46.89388335,2.101630522,4.737090847,4.214888441,531.1350598,514.2832205,1128.790731,91854.49741,0.006979272,426.7815663
iesm85_coupled,2014,0.479699786,1.150856209,0.198854452,0.021219308,0.395257433,46.8382159,2.247634602,4.883999435,4.233789208,529.948672,514.7497317,1128.380304,91899.16184,0.007043405,430.2663751
iesm85_coupled,2015,0.379459842,1.175045355,0.188920615,0.018856301,-0.345856452,47.66138524,2.244496603,4.978674313,4.246631246,529.4349155,515.0449684,1128.153206,91906.58617,0.007211342,433.1996586
